dataset,id,mom_id,origin_site,urb_cat,sex,age,round,treat,x_treat,enclo,svl,forearm,hindlimb,foot
cross_foster,7186,LN014,LN,n,J,13,1,N,nN,N1,50,15.39,25.32,19.83
cross_foster,7186,LN014,LN,n,J,68,2,N,nN,N1,72,20.34,34.21,26.86
cross_foster,7186,LN014,LN,n,J,129,3,N,nN,N1,82,23.62,39.13,32.5
cross_foster,7186,LN014,LN,n,J,243,4,N,nN,N1,79,24.84,38.26,29.92
cross_foster,7186,LN014,LN,n,J,317,5,N,nN,N1,87,27.2,42.09,33.21
cross_foster,7186,LN014,LN,n,J,376,6,N,nN,N1,94,25.97,44.25,34.92
cross_foster,7190,LN001,LN,n,J,18,1,U,nU,U2,50,17.07,26.71,19.9
cross_foster,7190,LN001,LN,n,J,73,2,U,nU,U2,77,21.8,36.17,29.19
cross_foster,7190,LN001,LN,n,J,134,3,U,nU,U2,81,24.88,39.12,31.28
cross_foster,7190,LN001,LN,n,J,248,4,U,nU,U2,82,24.6,41.97,31.74
cross_foster,7190,LN001,LN,n,J,322,5,U,nU,U2,89,28.49,44.52,33.93
cross_foster,7190,LN001,LN,n,J,381,6,U,nU,U2,93,27.6,46.93,34.57
cross_foster,7213,LN009,LN,n,J,11,1,N,nN,N2,51,16.11,25.12,21.37
cross_foster,7214,LN006,LN,n,J,10,1,U,nU,U1,50.5,15.35,26.67,21.23
cross_foster,7214,LN006,LN,n,J,65,2,U,nU,U1,75,22.26,38.45,28.38
cross_foster,7214,LN006,LN,n,J,126,3,U,nU,U1,82,24.23,40.07,30.57
cross_foster,7214,LN006,LN,n,J,240,4,U,nU,U1,81,24.87,40.47,32.42
cross_foster,7214,LN006,LN,n,J,314,5,U,nU,U1,90,27.31,44.15,32.05
cross_foster,7214,LN006,LN,n,J,373,6,U,nU,U1,95,29.57,48.12,35.37
cross_foster,7217,LN009,LN,n,J,11,1,U,nU,U3,51,15.42,26.61,21.21
cross_foster,7217,LN009,LN,n,J,66,2,U,nU,U3,72,21.98,37.02,26.76
cross_foster,7217,LN009,LN,n,J,127,3,U,nU,U3,76,22.6,37.72,29.17
cross_foster,7217,LN009,LN,n,J,241,4,U,nU,U3,75,23.16,37.1,29.29
cross_foster,7217,LN009,LN,n,J,315,5,U,nU,U3,82,23.87,40.22,30.92
cross_foster,7217,LN009,LN,n,J,374,6,U,nU,U3,85,23.78,39.53,29.06
cross_foster,7226,LN017,LN,n,J,10,1,U,nU,U2,50,15.44,25.56,20.22
cross_foster,7226,LN017,LN,n,J,65,2,U,nU,U2,68,19.83,33.82,26.37
cross_foster,7226,LN017,LN,n,J,126,3,U,nU,U2,75,20.5,35.76,26.69
cross_foster,7226,LN017,LN,n,J,240,4,U,nU,U2,74.5,22.44,36.16,27.38
cross_foster,7226,LN017,LN,n,J,314,5,U,nU,U2,83,25.4,40.13,31.16
cross_foster,7226,LN017,LN,n,J,373,6,U,nU,U2,84,25.83,39.12,29.34
cross_foster,7237,LN008,LN,n,J,9,1,U,nU,U3,51,15.9,25.22,20.33
cross_foster,7237,LN008,LN,n,J,64,2,U,nU,U3,72,20.9,36.1,27.44
cross_foster,7237,LN008,LN,n,J,125,3,U,nU,U3,78,24.25,37.4,28.65
cross_foster,7237,LN008,LN,n,J,239,4,U,nU,U3,76,22.48,38.26,29.88
cross_foster,7237,LN008,LN,n,J,313,5,U,nU,U3,85,26.43,42.86,30.5
cross_foster,7237,LN008,LN,n,J,372,6,U,nU,U3,90,28.6,44.33,38.07
